EmployeeID,Gender,Department,Job_Level,Country,Hire_Date,Annual_Salary,Market_Midpoint,Target_Bonus_Pct,Actual_Bonus,Performance_Rating,Benefit_Plan
GE-1091,Male,Sales,Senior,Spain,3/7/2022,153886,175000,0.15,13190,2,Standard
GE-1092,Male,Sales,Professional,Spain,10/12/2014,150031,130000,0.1,17146,4,Opt-Out
GE-1093,Male,IT,Entry,UK,1/2/2019,86353,95000,0.05,1233,1,Gold Health
GE-1094,Female,HR,Professional,UK,8/10/2014,115060,130000,0.1,9862,3,Standard
GE-1095,Male,Sales,Entry,UK,10/26/2016,78135,95000,0.05,1116,1,Gold Health
GE-1096,Male,HR,Senior,Spain,4/24/2023,164763,175000,0.15,21183,3,Gold Health
GE-1097,Female,Sales,Professional,Spain,3/13/2016,136580,130000,0.1,19511,5,Opt-Out
GE-1098,Male,Operations,Professional,France,3/18/2020,133066,130000,0.1,11405,3,Gold Health
GE-1099,Male,IT,Senior,France,10/17/2021,149710,175000,0.15,19248,3,Opt-Out
GE-1100,Female,HR,Professional,Spain,8/30/2018,131200,130000,0.1,7497,2,Silver Health
GE-1101,Female,Operations,Senior,France,7/22/2021,144841,175000,0.15,31037,5,Standard
GE-1102,Female,Operations,Manager,Spain,3/8/2020,211254,240000,0.2,36214,3,Silver Health
GE-1103,Female,Engineering,Professional,France,11/15/2018,128409,130000,0.1,11006,3,Silver Health
GE-1104,Male,IT,Senior,France,11/11/2016,143849,175000,0.15,18494,3,Standard
GE-1105,Female,Marketing,Professional,Germany,2/16/2022,133737,130000,0.1,11463,3,Silver Health
GE-1106,Female,HR,Manager,Germany,10/8/2023,250027,240000,0.2,57149,4,Opt-Out
GE-1107,Female,HR,Senior,Spain,8/1/2022,164538,175000,0.15,21154,3,Silver Health
GE-1108,Male,Finance,Manager,Spain,1/11/2015,251121,240000,0.2,71748,5,Standard
GE-1109,Male,Finance,Professional,Spain,11/11/2014,145726,130000,0.1,12490,3,Silver Health
GE-1110,Female,Finance,Professional,Poland,12/30/2015,116997,130000,0.1,10028,3,Standard
GE-1111,Male,Operations,Professional,Germany,2/17/2020,119340,130000,0.1,10229,3,Standard
GE-1112,Male,Sales,Senior,UK,6/16/2020,164589,175000,0.15,14107,2,Opt-Out
GE-1113,Female,Operations,Manager,France,10/22/2019,222331,240000,0.2,25409,2,Opt-Out
GE-1114,Female,Sales,Professional,Spain,3/22/2015,117302,130000,0.1,10054,3,Gold Health
GE-1115,Male,IT,Senior,Germany,7/19/2021,188054,175000,0.15,32237,4,Gold Health
GE-1116,Male,Sales,Entry,Germany,4/4/2021,100376,95000,0.05,5735,4,Opt-Out
GE-1117,Female,IT,Senior,Poland,8/14/2023,170590,175000,0.15,21933,3,Gold Health
GE-1118,Male,Operations,Senior,Poland,6/20/2015,163636,175000,0.15,28051,4,Opt-Out
GE-1119,Female,HR,Professional,Poland,12/8/2014,122346,130000,0.1,17478,5,Opt-Out
GE-1120,Female,Finance,Professional,Germany,9/14/2023,127047,130000,0.1,10889,3,Standard
GE-1121,Female,Marketing,Entry,France,12/10/2019,85850,95000,0.05,4905,4,Opt-Out
GE-1122,Male,Engineering,Professional,UK,9/3/2015,126099,130000,0.1,18014,5,Gold Health
GE-1123,Male,Engineering,Professional,UK,8/23/2018,116201,130000,0.1,13280,4,Standard
GE-1124,Female,Finance,Manager,Germany,4/25/2022,235927,240000,0.2,26963,2,Silver Health
GE-1125,Male,Engineering,Professional,Poland,3/21/2014,141396,130000,0.1,12119,3,Standard
GE-1126,Male,Operations,Senior,Germany,1/5/2016,176984,175000,0.15,30340,4,Gold Health
GE-1127,Male,Marketing,Senior,UK,4/19/2014,159065,175000,0.15,27268,4,Standard
GE-1128,Female,Sales,Professional,Germany,4/18/2022,116478,130000,0.1,13311,4,Gold Health
GE-1129,Male,Operations,Senior,France,5/11/2019,160153,175000,0.15,20591,3,Standard
GE-1130,Male,Sales,Entry,UK,10/11/2021,83503,95000,0.05,4771,4,Standard
GE-1131,Male,Sales,Professional,France,4/4/2023,125936,130000,0.1,14392,4,Opt-Out
GE-1132,Male,Marketing,Senior,Poland,7/13/2016,188093,175000,0.15,32244,4,Silver Health
GE-1133,Female,Engineering,Entry,Poland,2/7/2017,87137,95000,0.05,4979,4,Gold Health
GE-1134,Female,Marketing,Entry,Poland,5/8/2014,96027,95000,0.05,4115,3,Standard
GE-1135,Male,IT,Professional,UK,3/30/2020,150870,130000,0.1,12931,3,Standard
GE-1136,Female,IT,Senior,Poland,5/25/2019,150624,175000,0.15,19365,3,Silver Health
GE-1137,Female,Engineering,Senior,UK,2/7/2019,155161,175000,0.15,6649,1,Silver Health
GE-1138,Male,Finance,Professional,Germany,6/21/2015,131578,130000,0.1,11278,3,Opt-Out
GE-1139,Female,Engineering,Professional,Poland,7/30/2016,154877,130000,0.1,13275,3,Opt-Out
GE-1140,Female,HR,Entry,Poland,3/10/2020,109262,95000,0.05,4682,3,Standard
GE-1141,Female,Operations,Professional,Poland,12/15/2016,124647,130000,0.1,17806,5,Gold Health
GE-1142,Female,IT,Professional,Germany,3/7/2023,140718,130000,0.1,12061,3,Gold Health
GE-1143,Female,Marketing,Director,UK,10/23/2016,276066,340000,0.3,70988,3,Opt-Out
GE-1144,Female,HR,Entry,Spain,7/1/2022,103358,95000,0.05,5906,4,Standard
GE-1145,Female,Engineering,Entry,Germany,10/11/2022,108873,95000,0.05,4665,3,Gold Health
GE-1146,Female,Sales,Professional,Germany,1/9/2015,104338,130000,0.1,5962,2,Silver Health
GE-1147,Female,Sales,Professional,UK,8/31/2014,118188,130000,0.1,10130,3,Silver Health
GE-1148,Male,Engineering,Professional,Spain,9/15/2018,119611,130000,0.1,10252,3,Opt-Out
GE-1149,Male,Engineering,Manager,Poland,3/11/2020,235996,240000,0.2,53941,4,Standard
GE-1150,Female,Engineering,Entry,UK,6/6/2019,75779,95000,0.05,3247,3,Gold Health
GE-1151,Female,Finance,Senior,UK,11/9/2023,152144,175000,0.15,13040,2,Silver Health
GE-1152,Female,Engineering,Entry,Poland,5/18/2023,77527,95000,0.05,3322,3,Silver Health
GE-1153,Male,Sales,Director,Spain,8/2/2021,311219,340000,0.3,80027,3,Opt-Out
GE-1154,Female,IT,Entry,UK,10/28/2014,115223,95000,0.05,6584,4,Silver Health
GE-1155,Female,Sales,Professional,Poland,7/3/2015,141213,130000,0.1,12103,3,Standard
GE-1156,Female,Engineering,Professional,UK,3/28/2015,145672,130000,0.1,16648,4,Silver Health
GE-1157,Female,IT,Entry,Germany,12/24/2021,105708,95000,0.05,4530,3,Gold Health
GE-1158,Male,Engineering,Entry,Spain,8/24/2022,79020,95000,0.05,5644,5,Standard
GE-1159,Male,IT,Professional,Germany,9/10/2021,126959,130000,0.1,10882,3,Silver Health
GE-1160,Male,Operations,Entry,Poland,2/20/2019,113955,95000,0.05,6511,4,Standard
GE-1161,Female,HR,Senior,UK,9/22/2019,169689,175000,0.15,14544,2,Gold Health
GE-1162,Male,IT,Professional,Spain,1/5/2019,144002,130000,0.1,12343,3,Standard
GE-1163,Female,Operations,Professional,UK,5/24/2014,143272,130000,0.1,16373,4,Silver Health
GE-1164,Male,IT,Professional,UK,10/16/2015,131127,130000,0.1,11239,3,Gold Health
GE-1165,Male,IT,Senior,Poland,6/7/2016,181252,175000,0.15,31071,4,Silver Health
GE-1166,Female,Marketing,Manager,Poland,1/18/2023,246446,240000,0.2,42247,3,Opt-Out
GE-1167,Female,Sales,Professional,Poland,2/17/2020,150919,130000,0.1,17247,4,Standard
GE-1168,Male,Finance,Professional,France,5/28/2015,100073,130000,0.1,11436,4,Standard
GE-1169,Female,Engineering,Professional,Germany,6/30/2022,148305,130000,0.1,12711,3,Standard
GE-1170,Male,Finance,Senior,Germany,8/23/2022,139740,175000,0.15,23955,4,Opt-Out
GE-1171,Male,IT,Professional,Poland,12/25/2017,126117,130000,0.1,10810,3,Opt-Out
GE-1172,Female,Sales,Professional,Germany,8/12/2023,155063,130000,0.1,13291,3,Opt-Out
GE-1173,Female,Engineering,Entry,France,7/17/2020,95983,95000,0.05,2742,2,Opt-Out
GE-1174,Female,Operations,Entry,Germany,10/26/2016,79847,95000,0.05,4562,4,Gold Health
GE-1175,Male,Engineering,Entry,France,11/15/2017,87597,95000,0.05,3754,3,Opt-Out
GE-1176,Male,Operations,Professional,Spain,10/15/2021,141413,130000,0.1,12121,3,Silver Health
GE-1177,Male,IT,Manager,Spain,9/22/2020,234557,240000,0.2,26806,2,Silver Health
GE-1178,Male,HR,Professional,Germany,8/14/2014,130161,130000,0.1,14875,4,Gold Health
GE-1179,Female,Engineering,Senior,Poland,2/7/2017,198809,175000,0.15,8520,1,Opt-Out
GE-1180,Male,Finance,Professional,Poland,4/20/2017,123140,130000,0.1,10554,3,Opt-Out
GE-1181,Male,HR,Senior,UK,10/1/2021,161564,175000,0.15,20772,3,Silver Health
GE-1182,Male,Operations,Professional,Spain,1/23/2023,155236,130000,0.1,13305,3,Gold Health
GE-1183,Male,Engineering,Manager,Poland,1/27/2022,234971,240000,0.2,40280,3,Silver Health
GE-1184,Female,Sales,Professional,UK,9/27/2016,139281,130000,0.1,11938,3,Standard
GE-1185,Male,Operations,Professional,UK,3/29/2022,136530,130000,0.1,15603,4,Silver Health
GE-1186,Male,HR,Manager,UK,8/10/2020,248600,240000,0.2,42617,3,Silver Health
GE-1187,Male,Sales,Entry,Spain,2/4/2021,105830,95000,0.05,4535,3,Standard
GE-1188,Female,Sales,Professional,UK,9/21/2018,129557,130000,0.1,11104,3,Standard
GE-1189,Male,Sales,Entry,UK,12/11/2022,106676,95000,0.05,6095,4,Silver Health
GE-1190,Female,Engineering,Senior,Germany,2/13/2018,165258,175000,0.15,21247,3,Opt-Out
GE-1191,Female,Finance,Senior,UK,4/4/2021,172462,175000,0.15,22173,3,Silver Health
GE-1192,Female,Finance,Professional,France,4/30/2017,119097,130000,0.1,10208,3,Opt-Out
GE-1193,Female,HR,Entry,Poland,10/1/2018,109370,95000,0.05,6249,4,Opt-Out
GE-1194,Male,HR,Professional,Poland,5/2/2015,121033,130000,0.1,10374,3,Opt-Out
GE-1195,Female,Sales,Manager,Germany,7/26/2023,236426,240000,0.2,13510,1,Standard
GE-1196,Male,Engineering,Professional,France,2/26/2020,108621,130000,0.1,12413,4,Gold Health
GE-1197,Male,Operations,Director,Germany,5/20/2019,284863,340000,0.3,73250,3,Silver Health
GE-1198,Female,Finance,Professional,France,5/1/2023,131886,130000,0.1,7536,2,Silver Health
GE-1199,Female,Sales,Professional,UK,5/16/2023,135208,130000,0.1,11589,3,Standard
GE-1200,Female,Operations,Senior,UK,5/28/2015,164992,175000,0.15,21213,3,Standard
GE-1201,Male,Engineering,Professional,Spain,2/12/2018,140775,130000,0.1,16088,4,Opt-Out
GE-1202,Female,Marketing,Manager,France,3/10/2019,251228,240000,0.2,43067,3,Silver Health
GE-1203,Male,Operations,Professional,UK,10/22/2017,148284,130000,0.1,12710,3,Gold Health
GE-1204,Female,Operations,Senior,Spain,6/19/2022,157527,175000,0.15,33755,5,Silver Health
GE-1205,Male,IT,Manager,Germany,4/11/2014,301157,240000,0.2,68835,4,Opt-Out
GE-1206,Male,Sales,Senior,Spain,11/22/2023,200371,175000,0.15,25761,3,Silver Health
GE-1207,Male,HR,Senior,Spain,11/16/2022,191155,175000,0.15,40961,5,Silver Health
GE-1208,Female,Marketing,Professional,UK,6/1/2015,141498,130000,0.1,12128,3,Silver Health
GE-1209,Male,IT,Director,UK,4/21/2023,392842,340000,0.3,101016,3,Silver Health
GE-1210,Male,Finance,Professional,Germany,1/31/2023,144324,130000,0.1,8247,2,Opt-Out
GE-1211,Female,Operations,Entry,Spain,6/2/2015,96482,95000,0.05,4134,3,Silver Health
GE-1212,Male,HR,Professional,Germany,3/1/2017,107904,130000,0.1,9248,3,Opt-Out
GE-1213,Female,Engineering,Entry,Spain,12/12/2018,93979,95000,0.05,1342,1,Opt-Out
GE-1214,Female,Operations,Entry,France,4/4/2017,106652,95000,0.05,4570,3,Opt-Out
GE-1215,Male,HR,Director,Germany,3/12/2015,328174,340000,0.3,84387,3,Standard
GE-1216,Male,Sales,Senior,UK,7/19/2020,185368,175000,0.15,31777,4,Gold Health
GE-1217,Male,Marketing,Manager,Poland,9/29/2014,259538,240000,0.2,74153,5,Gold Health
GE-1218,Female,Operations,Entry,Poland,6/19/2018,97953,95000,0.05,4197,3,Silver Health
GE-1219,Male,Finance,Senior,Poland,5/4/2016,155084,175000,0.15,26585,4,Silver Health
GE-1220,Male,IT,Senior,Spain,5/14/2020,144726,175000,0.15,18607,3,Standard
GE-1221,Male,Operations,Manager,UK,12/30/2015,242571,240000,0.2,55444,4,Opt-Out
GE-1222,Female,Engineering,Entry,Germany,7/13/2018,95150,95000,0.05,2718,2,Standard
GE-1223,Male,HR,Entry,Spain,4/27/2022,97268,95000,0.05,5558,4,Opt-Out
GE-1224,Female,Finance,Entry,Spain,5/11/2018,102159,95000,0.05,4378,3,Opt-Out
GE-1225,Male,IT,Senior,Spain,1/11/2019,171643,175000,0.15,14712,2,Silver Health
GE-1226,Male,Engineering,Senior,UK,12/29/2015,162100,175000,0.15,20841,3,Gold Health
GE-1227,Female,Sales,Director,Germany,5/3/2021,393934,340000,0.3,168828,5,Opt-Out
GE-1228,Male,Marketing,Professional,Germany,12/17/2020,137183,130000,0.1,11758,3,Silver Health
GE-1229,Female,IT,Professional,Poland,3/26/2023,113854,130000,0.1,16264,5,Silver Health
GE-1230,Female,Marketing,Professional,UK,4/1/2015,116471,130000,0.1,9983,3,Silver Health
GE-1231,Female,IT,Professional,UK,4/22/2018,119490,130000,0.1,10242,3,Gold Health
GE-1232,Male,Finance,Entry,Poland,2/16/2016,80545,95000,0.05,4602,4,Opt-Out
GE-1233,Female,Engineering,Senior,UK,6/3/2015,151328,175000,0.15,12970,2,Opt-Out
GE-1234,Male,Sales,Senior,UK,3/8/2022,169392,175000,0.15,21778,3,Silver Health
GE-1235,Female,HR,Senior,UK,7/8/2015,166940,175000,0.15,21463,3,Silver Health
GE-1236,Female,Marketing,Senior,Spain,8/27/2018,157180,175000,0.15,13472,2,Gold Health
GE-1237,Male,IT,Manager,Poland,9/22/2018,212028,240000,0.2,48463,4,Standard
GE-1238,Male,Marketing,Entry,Poland,11/21/2022,99398,95000,0.05,4259,3,Opt-Out
GE-1239,Male,Operations,Senior,UK,2/3/2015,176731,175000,0.15,22722,3,Standard
GE-1240,Female,Marketing,Professional,Poland,12/8/2022,139662,130000,0.1,19951,5,Standard
GE-1241,Male,Operations,Senior,Poland,3/19/2014,173502,175000,0.15,14871,2,Opt-Out
GE-1242,Male,Finance,Professional,France,6/21/2016,113679,130000,0.1,6495,2,Gold Health
GE-1243,Male,Engineering,Entry,Germany,8/19/2016,100736,95000,0.05,4317,3,Silver Health
GE-1244,Female,Sales,Director,France,1/17/2014,288832,340000,0.3,74271,3,Gold Health
GE-1245,Male,Engineering,Professional,Germany,8/18/2018,146425,130000,0.1,16734,4,Silver Health
GE-1246,Female,Engineering,Senior,France,4/10/2014,170671,175000,0.15,21943,3,Silver Health
GE-1247,Female,Operations,Senior,UK,11/22/2022,205425,175000,0.15,44019,5,Opt-Out
GE-1248,Male,Sales,Manager,Spain,2/16/2017,247633,240000,0.2,42451,3,Silver Health
GE-1249,Male,Finance,Professional,UK,5/21/2015,123974,130000,0.1,10626,3,Opt-Out
GE-1250,Male,Marketing,Entry,France,11/20/2019,72380,95000,0.05,3102,3,Opt-Out
GE-1251,Male,HR,Manager,Spain,9/9/2023,266603,240000,0.2,45703,3,Standard
GE-1252,Male,Marketing,Professional,Poland,7/20/2017,144275,130000,0.1,16488,4,Silver Health
GE-1253,Female,Finance,Professional,Germany,12/18/2023,152624,130000,0.1,13082,3,Gold Health
GE-1254,Male,Sales,Entry,Poland,11/18/2021,115861,95000,0.05,6620,4,Standard
GE-1255,Female,Sales,Professional,UK,7/10/2015,156681,130000,0.1,13429,3,Silver Health
GE-1256,Female,Sales,Senior,Poland,8/8/2016,166677,175000,0.15,28573,4,Gold Health
GE-1257,Male,Sales,Senior,Poland,10/10/2016,201717,175000,0.15,34580,4,Standard
GE-1258,Female,HR,Professional,Poland,10/11/2023,137872,130000,0.1,11817,3,Opt-Out
GE-1259,Female,HR,Senior,France,8/28/2021,151735,175000,0.15,19508,3,Standard
GE-1260,Male,Operations,Professional,France,8/9/2014,117667,130000,0.1,6723,2,Standard
GE-1261,Male,Operations,Senior,France,1/9/2014,137767,175000,0.15,11808,2,Standard
GE-1262,Male,IT,Senior,Spain,4/30/2016,164879,175000,0.15,35331,5,Gold Health
GE-1263,Male,IT,Professional,Spain,3/1/2016,105438,130000,0.1,9037,3,Opt-Out
GE-1264,Male,Sales,Entry,Poland,4/3/2017,98197,95000,0.05,4208,3,Opt-Out
GE-1265,Male,IT,Professional,Spain,1/1/2018,161888,130000,0.1,18501,4,Silver Health
GE-1266,Female,Operations,Professional,Spain,10/8/2023,134795,130000,0.1,15405,4,Standard
GE-1267,Female,Finance,Senior,France,3/30/2017,197540,175000,0.15,42330,5,Silver Health
GE-1268,Male,Sales,Entry,Germany,1/23/2022,101600,95000,0.05,4354,3,Opt-Out
GE-1269,Female,Operations,Entry,UK,1/12/2023,76297,95000,0.05,3269,3,Standard
GE-1270,Male,Engineering,Entry,UK,5/3/2019,99180,95000,0.05,5667,4,Silver Health
GE-1271,Male,Operations,Director,Germany,3/2/2014,354725,340000,0.3,91215,3,Standard
GE-1272,Female,IT,Senior,Poland,6/12/2014,192162,175000,0.15,32942,4,Gold Health
GE-1273,Male,HR,Professional,Spain,3/20/2022,141343,130000,0.1,16153,4,Gold Health
GE-1274,Male,IT,Manager,Germany,7/27/2019,276511,240000,0.2,47401,3,Standard
GE-1275,Female,Sales,Entry,Poland,7/15/2018,111057,95000,0.05,4759,3,Gold Health
GE-1276,Female,Engineering,Manager,Spain,12/30/2020,225511,240000,0.2,38659,3,Opt-Out
GE-1277,Male,Marketing,Entry,France,7/14/2018,98801,95000,0.05,4234,3,Standard
GE-1278,Male,Engineering,Professional,Poland,10/30/2016,110659,130000,0.1,9485,3,Opt-Out
GE-1279,Male,IT,Entry,Spain,9/13/2021,84908,95000,0.05,4851,4,Standard
GE-1280,Male,Operations,Professional,UK,12/24/2022,129319,130000,0.1,14779,4,Gold Health
GE-1281,Female,Engineering,Entry,Spain,1/20/2015,83082,95000,0.05,3560,3,Gold Health
GE-1282,Female,IT,Entry,Spain,7/20/2021,84589,95000,0.05,3625,3,Standard
GE-1283,Male,Operations,Entry,Spain,6/25/2021,98641,95000,0.05,4227,3,Silver Health
GE-1284,Female,Marketing,Entry,Germany,3/5/2022,76463,95000,0.05,2184,2,Standard
GE-1285,Female,Finance,Professional,France,11/5/2022,122856,130000,0.1,10530,3,Gold Health
GE-1286,Female,HR,Senior,France,11/1/2014,162661,175000,0.15,20913,3,Opt-Out
